Publication,Paper,Experiment,Mutant,Psoup Treatment,Actual tiller number,Significant ranking,Psoup Rank,Psoup Ranking,Kendall Tau,Normalized Kendall Distance,Percentage_0_0.3,Percentage_0.3_0.5,Percentage_0.5_0.7,Percentage_0.7_1
"Seale et al., 2017",27,4,WT,WT,3,3,12,2,0.65279121,0.173604395,78.75,17.5,0,3.75
"Seale et al., 2017",27,4,max4+sl,"MAX4_n, +SL",3,2,12,2,0.65279121,0.173604395,78.75,17.5,0,3.75
"Seale et al., 2017",27,4,max4,MAX4_n,7.9,5,16,3,0.65279121,0.173604395,78.75,17.5,0,3.75
"Seale et al., 2017",27,4,d14,D14_n,7.7,5,16,3,0.65279121,0.173604395,78.75,17.5,0,3.75
"Seale et al., 2017",27,4,d14+sl,"D14_n, +SL",8,5,16,3,0.65279121,0.173604395,78.75,17.5,0,3.75
"Seale et al., 2017",27,4,brc1+sl,"BRC1_2_n, +SL",6,4,24,4,0.65279121,0.173604395,78.75,17.5,0,3.75
"Seale et al., 2017",27,4,brc1,BRC1_2_n,7.8,5,25,5,0.65279121,0.173604395,78.75,17.5,0,3.75
"Simons et al., 2007",28,1,WT,WT,2,1,12,1,0.073127242,0.463436379,78.75,17.5,0,3.75
"Simons et al., 2007",28,1,dad1,MAX4_n,12,3,16,2,0.073127242,0.463436379,78.75,17.5,0,3.75
"Simons et al., 2007",28,1,dad2,D14_n,11,3,16,2,0.073127242,0.463436379,78.75,17.5,0,3.75
"Simons et al., 2007",28,1,dad1dad2,"D14_n, MAX4_n",14,4,16,2,0.073127242,0.463436379,78.75,17.5,0,3.75
"Simons et al., 2007",28,1,dad1dad3,"MAX3_n, MAX4_n",14,4,16,2,0.073127242,0.463436379,78.75,17.5,0,3.75
"Simons et al., 2007",28,1,dad2dad3,"D14_n, MAX3_n",13,4,16,2,0.073127242,0.463436379,78.75,17.5,0,3.75
"Simons et al., 2007",28,1,dad3,MAX3_n,8,2,16,2,0.073127242,0.463436379,78.75,17.5,0,3.75
"Song et al., 2017",29,1,WT+sl,"WT, +SL",1.5,2,9,1,0.076980036,0.461509982,78.75,17.5,0,3.75
"Song et al., 2017",29,1,d53+sl,"SMXL6_7_8_n, +SL",6.7,5,10,2,0.076980036,0.461509982,78.75,17.5,0,3.75
"Song et al., 2017",29,1,WT,WT,3,3,12,3,0.076980036,0.461509982,78.75,17.5,0,3.75
"Song et al., 2017",29,1,d27+sl,"D27_n, +SL",2.5,2,12,3,0.076980036,0.461509982,78.75,17.5,0,3.75
"Song et al., 2017",29,1,d53,SMXL6_7_8_n,6.8,5,13,4,0.076980036,0.461509982,78.75,17.5,0,3.75
"Song et al., 2017",29,1,ipa1+sl,"SPL9_15_n, +SL",4.3,1,15,5,0.076980036,0.461509982,78.75,17.5,0,3.75
"Song et al., 2017",29,1,d27,D27_n,5.8,4,16,6,0.076980036,0.461509982,78.75,17.5,0,3.75
"Song et al., 2017",29,1,ipa1,SPL9_15_n,5.5,4,18,7,0.076980036,0.461509982,78.75,17.5,0,3.75
"Soundappan et al., 2015",30,1,WT,WT,1.3,1,12,1,0.816496581,0.09175171,78.75,17.5,0,3.75
"Soundappan et al., 2015",30,1,smxl678max2,"SMXL6_7_8_n, MAX2_n",1.2,1,14,2,0.816496581,0.09175171,78.75,17.5,0,3.75
"Soundappan et al., 2015",30,1,max2,MAX2_n,10,2,16,3,0.816496581,0.09175171,78.75,17.5,0,3.75
"Stirnberg et al., 2007",31,1,WT,WT,6,1,12,1,0.774596669,0.112701665,78.75,17.5,0,3.75
"Stirnberg et al., 2007",31,1,max1,MAX1_n,33,3,16,2,0.774596669,0.112701665,78.75,17.5,0,3.75
"Stirnberg et al., 2007",31,1,max3,MAX3_n,25.4,2,16,2,0.774596669,0.112701665,78.75,17.5,0,3.75
"Stirnberg et al., 2007",31,1,max4,MAX4_n,25.1,2,16,2,0.774596669,0.112701665,78.75,17.5,0,3.75
"Stirnberg et al., 2007",31,2,max2,MAX2_n,17,2,16,2,1,0,78.75,17.5,0,3.75
"Stirnberg et al., 2007",31,2,wt,WT_n,4,1,12,1,1,0,78.75,17.5,0,3.75
"Stirnberg et al.,2002",32,1,WT,WT,3,1,12,1,0.774596669,0.112701665,78.75,17.5,0,3.75
"Stirnberg et al.,2002",32,1,max1,MAX1_n,7.2,2,16,2,0.774596669,0.112701665,78.75,17.5,0,3.75
"Stirnberg et al.,2002",32,1,max2,MAX2_n,8.2,2,16,2,0.774596669,0.112701665,78.75,17.5,0,3.75
"Stirnberg et al.,2002",32,1,max1max2,"MAX2_n, MAX1_n",8.9,3,16,2,0.774596669,0.112701665,78.75,17.5,0,3.75
"Tal et al., 2022",33,1,WT,WT,4.7,1,12,1,1,5.55E-17,78.75,17.5,0,3.75
"Tal et al., 2022",33,1,max2,MAX2_n,9,2,16,2,1,5.55E-17,78.75,17.5,0,3.75
"Tal et al., 2022",33,1,d14,D14_n,9,2,16,2,1,5.55E-17,78.75,17.5,0,3.75
"Umehara et al., 2008",34,1,WT+sl,"WT, +SL",0,1,9,1,0.917662935,0.041168532,78.75,17.5,0,3.75
"Umehara et al., 2008",34,1,WT,WT,0,1,12,2,0.917662935,0.041168532,78.75,17.5,0,3.75
"Umehara et al., 2008",34,1,max3+sl,"MAX3_n, +SL",0,1,12,2,0.917662935,0.041168532,78.75,17.5,0,3.75
"Umehara et al., 2008",34,1,max4+sl,"MAX4_n, +SL",0.5,1,12,2,0.917662935,0.041168532,78.75,17.5,0,3.75
"Umehara et al., 2008",34,1,max2,MAX2_n,5.5,2,16,3,0.917662935,0.041168532,78.75,17.5,0,3.75
"Umehara et al., 2008",34,1,max3 ,MAX3_n,5.1,2,16,3,0.917662935,0.041168532,78.75,17.5,0,3.75
"Umehara et al., 2008",34,1,max4,MAX4_n,5.6,2,16,3,0.917662935,0.041168532,78.75,17.5,0,3.75
"Umehara et al., 2008",34,1,max2+sl,"MAX2_n, +SL",5.5,2,16,3,0.917662935,0.041168532,78.75,17.5,0,3.75
"Umehara et al., 2008",34,2,WT+sl,"WT, +SL",0,1,9,1,0.923380517,0.038309742,78.75,17.5,0,3.75
"Umehara et al., 2008",34,2,WT,WT,0,1,12,2,0.923380517,0.038309742,78.75,17.5,0,3.75
"Umehara et al., 2008",34,2,d10+sl,"MAX4_n, +SL",6,2,12,2,0.923380517,0.038309742,78.75,17.5,0,3.75
"Umehara et al., 2008",34,2,d17+sl,"MAX3_n, +SL",6.4,2,12,2,0.923380517,0.038309742,78.75,17.5,0,3.75
"Umehara et al., 2008",34,2,d3,MAX2_n,12,3,16,3,0.923380517,0.038309742,78.75,17.5,0,3.75
"Umehara et al., 2008",34,2,d10,MAX4_n,12,3,16,3,0.923380517,0.038309742,78.75,17.5,0,3.75
"Umehara et al., 2008",34,2,d17,MAX3_n,12,3,16,3,0.923380517,0.038309742,78.75,17.5,0,3.75
"Umehara et al., 2008",34,2,d3+sl,"MAX2_n, +SL",12,3,16,3,0.923380517,0.038309742,78.75,17.5,0,3.75
"Van Es et al., 2019",35,1,WT,WT,4,1,12,1,1,0,78.75,17.5,0,3.75
"Van Es et al., 2019",35,1,brc1,BRC1_2_n,7.3,2,25,2,1,0,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,1,pin347+sl,"PIN_1_3_4_7_n, +SL",2.4,1,2,1,0.536484667,0.231757667,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,1,max2pin347+sl,"PIN_1_3_4_7_n, MAX2_n, +SL",5.4,3,2,1,0.536484667,0.231757667,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,1,max4pin347+sl,"PIN_1_3_4_7_n, MAX4_n, +SL",2.8,2,2,1,0.536484667,0.231757667,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,1,max4pin347,"PIN_1_3_4_7_n, MAX4_n",6.3,3,4,2,0.536484667,0.231757667,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,1,pin347,PIN_1_3_4_7_n,4,2,6,3,0.536484667,0.231757667,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,1,WT+sl,"WT, +SL",2.4,1,9,4,0.536484667,0.231757667,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,1,WT,WT,5,2,12,5,0.536484667,0.231757667,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,1,max4+sl,"MAX4_n, +SL",3.4,2,12,5,0.536484667,0.231757667,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,1,max2pin347,"PIN_1_3_4_7_n, MAX2_n",6,3,13,6,0.536484667,0.231757667,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,1,max2,MAX2_n,7,4,16,7,0.536484667,0.231757667,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,1,max4,MAX4_n,7,4,16,7,0.536484667,0.231757667,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,1,max2+sl,"MAX2_n, +SL",7,4,16,7,0.536484667,0.231757667,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,2,pin347+sl,"PIN_1_3_4_7_n, +SL",2,1,2,1,0.402015126,0.298992437,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,2,brc12 pin347+sl,"BRC1_2_n, PIN_1_3_4_7_n, +SL",5,3,3,2,0.402015126,0.298992437,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,2,brc12 pin347,"BRC1_2_n, PIN_1_3_4_7_n",7,4,4,3,0.402015126,0.298992437,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,2,pin347,PIN_1_3_4_7_n,3,2,6,4,0.402015126,0.298992437,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,2,wt+sl,"WT, +SL",2,1,9,5,0.402015126,0.298992437,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,2,wt,WT,3,2,12,6,0.402015126,0.298992437,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,2,d14,D14_n,7.1,4,16,7,0.402015126,0.298992437,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,2,d14+sl,"D14_n, +SL",7.1,4,16,7,0.402015126,0.298992437,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,2,brc12+sl,"BRC1_2_n, +SL",6,3,24,8,0.402015126,0.298992437,78.75,17.5,0,3.75
"van Rongen et al., 2019",36,2,brc12,BRC1_2_n,7,4,25,9,0.402015126,0.298992437,78.75,17.5,0,3.75
"Wang et al., 2015",37,1,WT,WT,5,2,12,1,0.182574186,0.408712907,78.75,17.5,0,3.75
"Wang et al., 2015",37,1,smxl678,SMXL6_7_8_n,3.6,1,13,2,0.182574186,0.408712907,78.75,17.5,0,3.75
"Wang et al., 2015",37,1,max3smxl678,"SMXL6_7_8_n, MAX3_n",4,1,14,3,0.182574186,0.408712907,78.75,17.5,0,3.75
"Wang et al., 2015",37,1,max3,MAX3_n,10,3,16,4,0.182574186,0.408712907,78.75,17.5,0,3.75
"Waters et al., 2012",38,1,WT+sl,"WT, +SL",0,1,9,1,0.801001879,0.099499061,78.75,17.5,0,3.75
"Waters et al., 2012",38,1,WT,WT,0.1,1,12,2,0.801001879,0.099499061,78.75,17.5,0,3.75
"Waters et al., 2012",38,1,d27+sl,"D27_n, +SL",0,1,12,2,0.801001879,0.099499061,78.75,17.5,0,3.75
"Waters et al., 2012",38,1,max3+sl,"MAX3_n, +SL",0.3,2,12,2,0.801001879,0.099499061,78.75,17.5,0,3.75
"Waters et al., 2012",38,1,d27,D27_n,0.5,2,16,3,0.801001879,0.099499061,78.75,17.5,0,3.75
"Waters et al., 2012",38,1,max3,MAX3_n,1.8,3,16,3,0.801001879,0.099499061,78.75,17.5,0,3.75
"Waters et al., 2012",38,1,d14,D14_n,2.5,3,16,3,0.801001879,0.099499061,78.75,17.5,0,3.75
"Waters et al., 2012",38,1,d14+sl,"D14_n, +SL",2.5,3,16,3,0.801001879,0.099499061,78.75,17.5,0,3.75
"Xie et al., 2020",39,1,fhy3far1+fr,"FHY3_FAR1_n, +Low_R_FR",1.6,1,8,1,0.912870929,0.043564535,78.75,17.5,0,3.75
"Xie et al., 2020",39,1,fhy3far1,FHY3_FAR1_n,1,1,9,2,0.912870929,0.043564535,78.75,17.5,0,3.75
"Xie et al., 2020",39,1,WT+fr,"WT, +Low_R_FR",4,2,10,3,0.912870929,0.043564535,78.75,17.5,0,3.75
"Xie et al., 2020",39,1,WT,WT,8,3,12,4,0.912870929,0.043564535,78.75,17.5,0,3.75
"Xie et al., 2020",39,2,smxl678 spl915,"SMXL6_7_8_n, SPL9_15",10.1,2,10,1,0.182574186,0.408712907,78.75,17.5,0,3.75
"Xie et al., 2020",39,2,wt,WT,8.1,2,12,2,0.182574186,0.408712907,78.75,17.5,0,3.75
"Xie et al., 2020",39,2,smxl678,SMXL6_7_8_n,6.8,1,13,3,0.182574186,0.408712907,78.75,17.5,0,3.75
"Xie et al., 2020",39,2,spl915,SPL9_15_n,11,3,18,4,0.182574186,0.408712907,78.75,17.5,0,3.75
"Xie et al., 2020",39,3,fhy3far1,FHY3_FAR1_n,1.6,1,9,1,1,0,78.75,17.5,0,3.75
"Xie et al., 2020",39,3,wt,WT,8,2,12,2,1,0,78.75,17.5,0,3.75
"Xie et al., 2020",39,3,spl915,SPL9_15_n,12,3,18,3,1,0,78.75,17.5,0,3.75
"Xie et al., 2020",39,3,spl915fhy3far1,"SPL9_15_n, FHY3_FAR1_n",10.8,3,18,3,1,0,78.75,17.5,0,3.75
"Xu et al., 2021",40,1,WT,WT,6,1,12,1,0.5,0.25,78.75,17.5,0,3.75
"Xu et al., 2021",40,1,cxe overexpression,CXE_n,13,2,13,2,0.5,0.25,78.75,17.5,0,3.75
"Xu et al., 2021",40,1,cxe,CXE_n,6,1,13,2,0.5,0.25,78.75,17.5,0,3.75
"Xu et al., 2021",40,2,max3,MAX3_n,14,2,16,1,-1,1,78.75,17.5,0,3.75
"Xu et al., 2021",40,2,max4,MAX4_n,13,2,16,1,-1,1,78.75,17.5,0,3.75
"Xu et al., 2021",40,2,max1,MAX1_n,13,2,16,2,1,0,78.75,17.5,0,3.75
"Xu et al., 2021",40,2,wt,WT,5.7,1,12,1,1,0,78.75,17.5,0,3.75
"Yang et al.,2022",41,1,WT,WT,21,1,12,1,1,0,78.75,17.5,0,3.75
"Yang et al.,2022",41,1,lbo overexpression,LBO_n,48,2,16,2,1,0,78.75,17.5,0,3.75
"Yang et al.,2022",41,2,lbo overexpression+sl,"LBO_n, +SL",11,3,8,1,0.333333333,0.333333333,78.75,17.5,0,3.75
"Yang et al.,2022",41,2,wt+sl,"WT, +SL",6.8,1,9,2,0.333333333,0.333333333,78.75,17.5,0,3.75
"Yang et al.,2022",41,2,wt,WT,13,2,12,3,0.333333333,0.333333333,78.75,17.5,0,3.75
"Yang et al.,2022",41,2,lbo overexpression,LBO_n,16,4,16,4,0.333333333,0.333333333,78.75,17.5,0,3.75
"Yao et al.,2016",42,1,WT,WT,2.2,1,12,1,1,0,78.75,17.5,0,3.75
"Yao et al.,2016",42,1,d14,D14_n,6.1,2,16,2,1,0,78.75,17.5,0,3.75
"Zhou et al.,2013",43,1,WT+sl,"WT, +SL",2,1,9,1,0.579750904,0.210124548,78.75,17.5,0,3.75
"Zhou et al.,2013",43,1,d53+sl,"SMXL6_7_8_n, +SL",6.4,2,10,2,0.579750904,0.210124548,78.75,17.5,0,3.75
"Zhou et al.,2013",43,1,WT,WT,2,1,12,3,0.579750904,0.210124548,78.75,17.5,0,3.75
"Zhou et al.,2013",43,1,d27+sl,"D27_n, +SL",2.1,1,12,3,0.579750904,0.210124548,78.75,17.5,0,3.75
"Zhou et al.,2013",43,1,d53,SMXL6_7_8_n,6.4,2,13,4,0.579750904,0.210124548,78.75,17.5,0,3.75
"Zhou et al.,2013",43,1,d27,D27_n,6,2,16,5,0.579750904,0.210124548,78.75,17.5,0,3.75
"Zhou et al.,2013",43,1,d14,D14_n,6.2,2,16,5,0.579750904,0.210124548,78.75,17.5,0,3.75
"Zhou et al.,2013",43,1,d14+sl,"D14_n, +SL",6.3,2,16,5,0.579750904,0.210124548,78.75,17.5,0,3.75
"Fang et al., 2020",44,1,WT,WT,23,1,12,1,0.125988158,0.437005921,78.75,17.5,0,3.75
"Fang et al., 2020",44,1,d53,SMXL6_7_8_n,60,3,13,2,0.125988158,0.437005921,78.75,17.5,0,3.75
"Fang et al., 2020",44,1,d14,D14_n,60,3,16,3,0.125988158,0.437005921,78.75,17.5,0,3.75
"Fang et al., 2020",44,1,d3,MAX2_n,60,3,16,3,0.125988158,0.437005921,78.75,17.5,0,3.75
"Fang et al., 2020",44,1,fc1,BRC1_2_n,55,2,25,4,0.125988158,0.437005921,78.75,17.5,0,3.75
"Fang et al., 2020",44,2,WT+sl,"WT, +SL",4.6,1,9,1,0.83624201,0.081878995,78.75,17.5,0,3.75
"Fang et al., 2020",44,2,WT,WT,5,1,12,2,0.83624201,0.081878995,78.75,17.5,0,3.75
"Fang et al., 2020",44,2,d10+sl,"MAX4_n, +SL",5.7,2,12,2,0.83624201,0.081878995,78.75,17.5,0,3.75
"Fang et al., 2020",44,2,d10,MAX4_n,10,3,16,3,0.83624201,0.081878995,78.75,17.5,0,3.75
"Fang et al., 2020",44,2,d14,D14_n,14,4,16,3,0.83624201,0.081878995,78.75,17.5,0,3.75
"Fang et al., 2020",44,2,d14+sl,"D14_n, +SL",13.7,4,16,3,0.83624201,0.081878995,78.75,17.5,0,3.75
"Ishikawa et al., 2005",45,1,WT,WT,13,1,12,1,0.745355992,0.127322004,78.75,17.5,0,3.75
"Ishikawa et al., 2005",45,1,d3,MAX2_n,48,3,16,2,0.745355992,0.127322004,78.75,17.5,0,3.75
"Ishikawa et al., 2005",45,1,d10,MAX4_n,46,3,16,2,0.745355992,0.127322004,78.75,17.5,0,3.75
"Ishikawa et al., 2005",45,1,d14,D14_n,49,3,16,2,0.745355992,0.127322004,78.75,17.5,0,3.75
"Ishikawa et al., 2005",45,1,d17,MAX3_n,46,3,16,2,0.745355992,0.127322004,78.75,17.5,0,3.75
"Ishikawa et al., 2005",45,1,d27,D27_n,35,2,16,2,0.745355992,0.127322004,78.75,17.5,0,3.75
"Nelson et al., 2011",46,1,WT+sl,"WT, +SL",0.5,1,9,1,0.919866211,0.040066894,78.75,17.5,0,3.75
"Nelson et al., 2011",46,1,WT,WT,1,2,12,2,0.919866211,0.040066894,78.75,17.5,0,3.75
"Nelson et al., 2011",46,1,max3+sl,"MAX3_n, +SL",2.5,3,12,2,0.919866211,0.040066894,78.75,17.5,0,3.75
"Nelson et al., 2011",46,1,max4+sl,"MAX4_n, +SL",2,3,12,2,0.919866211,0.040066894,78.75,17.5,0,3.75
"Nelson et al., 2011",46,1,max3,MAX3_n,5.4,4,16,3,0.919866211,0.040066894,78.75,17.5,0,3.75
"Nelson et al., 2011",46,1,max4,MAX4_n,5.3,4,16,3,0.919866211,0.040066894,78.75,17.5,0,3.75
"Snowden et al., 2005",47,1,WT,WT,4,1,12,1,1,0,78.75,17.5,0,3.75
"Snowden et al., 2005",47,1,dad1,MAX4_n,11,2,16,2,1,0,78.75,17.5,0,3.75
"Brewer et al., 2009",48,1,WT+sl,"WT, +SL",2,1,9,1,0.919866211,0.040066894,78.75,17.5,0,3.75
"Brewer et al., 2009",48,1,WT,WT,3,2,12,2,0.919866211,0.040066894,78.75,17.5,0,3.75
"Brewer et al., 2009",48,1,max3+sl,"MAX3_n, +SL",4.1,3,12,2,0.919866211,0.040066894,78.75,17.5,0,3.75
"Brewer et al., 2009",48,1,max4+sl,"MAX4_n, +SL",4,3,12,2,0.919866211,0.040066894,78.75,17.5,0,3.75
"Brewer et al., 2009",48,1,max3,MAX3_n,7.3,4,16,3,0.919866211,0.040066894,78.75,17.5,0,3.75
"Brewer et al., 2009",48,1,max4,MAX4_n,9.4,4,16,3,0.919866211,0.040066894,78.75,17.5,0,3.75
"Brewer et al., 2009",48,2,WT+sl,"WT, +SL",0.6,1,9,1,0.912870929,0.043564535,78.75,17.5,0,3.75
"Brewer et al., 2009",48,2,WT,WT,1.2,2,12,2,0.912870929,0.043564535,78.75,17.5,0,3.75
"Brewer et al., 2009",48,2,brc1+sl,"BRC1_2_n, +SL",2.2,3,24,3,0.912870929,0.043564535,78.75,17.5,0,3.75
"Brewer et al., 2009",48,2,brc1,BRC1_2_n,2.8,3,25,4,0.912870929,0.043564535,78.75,17.5,0,3.75
"Minakuchi et al., 2010",49,1,WT+sl,"WT, +SL",0,1,9,1,0.805822964,0.097088518,78.75,17.5,0,3.75
"Minakuchi et al., 2010",49,1,WT,WT,0,1,12,2,0.805822964,0.097088518,78.75,17.5,0,3.75
"Minakuchi et al., 2010",49,1,d10+sl,"MAX4_n, +SL",1,2,12,2,0.805822964,0.097088518,78.75,17.5,0,3.75
"Minakuchi et al., 2010",49,1,d10,MAX4_n,12,3,16,3,0.805822964,0.097088518,78.75,17.5,0,3.75
"Minakuchi et al., 2010",49,1,fc1+sl,"BRC1_2_n, +SL",11,3,24,4,0.805822964,0.097088518,78.75,17.5,0,3.75
"Minakuchi et al., 2010",49,1,fc1,BRC1_2_n,11,3,25,5,0.805822964,0.097088518,78.75,17.5,0,3.75
